IP地址	端口	TLS	数据中心	地区	城市	网络延迟	测速 MB/s
47.237.86.185	8880	FALSE	SIN	Asia Pacific	Singapore	219 ms	2478 kB/s
47.245.86.230	2082	FALSE	SIN	Asia Pacific	Singapore	268 ms	2453 kB/s
47.236.165.25	80	FALSE	SIN	Asia Pacific	Singapore	210 ms	2449 kB/s
8.217.149.28	2095	FALSE	HKG	Asia Pacific	Hong Kong	66 ms	2446 kB/s
8.217.145.40	80	FALSE	HKG	Asia Pacific	Hong Kong	65 ms	2379 kB/s
47.236.169.141	2052	FALSE	SIN	Asia Pacific	Singapore	212 ms	2375 kB/s
8.217.145.40	2086	FALSE	HKG	Asia Pacific	Hong Kong	65 ms	2323 kB/s
47.236.125.62	2086	FALSE	NRT	Asia Pacific	Tokyo	285 ms	2316 kB/s
8.218.146.204	80	FALSE	HKG	Asia Pacific	Hong Kong	62 ms	2251 kB/s
47.243.107.148	2095	FALSE	HKG	Asia Pacific	Hong Kong	65 ms	2243 kB/s
8.217.85.14	2086	FALSE	HKG	Asia Pacific	Hong Kong	62 ms	2238 kB/s
47.76.77.103	8080	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	2232 kB/s
8.210.34.188	2095	FALSE	HKG	Asia Pacific	Hong Kong	62 ms	2192 kB/s
47.242.202.230	80	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	2168 kB/s
47.236.205.188	2086	FALSE	SIN	Asia Pacific	Singapore	229 ms	2161 kB/s
8.217.207.60	80	FALSE	HKG	Asia Pacific	Hong Kong	58 ms	2133 kB/s
47.242.79.71	2086	FALSE	HKG	Asia Pacific	Hong Kong	67 ms	2122 kB/s
47.76.77.103	2086	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	2111 kB/s
47.243.107.148	8080	FALSE	HKG	Asia Pacific	Hong Kong	65 ms	2103 kB/s
8.218.65.237	8880	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	2090 kB/s
47.236.10.100	8880	FALSE	SIN	Asia Pacific	Singapore	245 ms	2078 kB/s
8.218.65.237	2086	FALSE	HKG	Asia Pacific	Hong Kong	69 ms	2064 kB/s
8.210.174.156	2095	FALSE	HKG	Asia Pacific	Hong Kong	64 ms	2041 kB/s
47.245.105.224	8880	FALSE	SIN	Asia Pacific	Singapore	227 ms	2024 kB/s
8.218.122.55	2052	FALSE	HKG	Asia Pacific	Hong Kong	66 ms	1996 kB/s
8.219.77.141	80	FALSE	SJC	North America	San Jose	215 ms	1971 kB/s
47.242.252.237	80	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	1961 kB/s
8.210.156.6	80	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	1957 kB/s
47.245.102.52	8080	FALSE	SIN	Asia Pacific	Singapore	258 ms	1937 kB/s
8.210.146.108	2095	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	1911 kB/s
47.245.105.224	2086	FALSE	SIN	Asia Pacific	Singapore	234 ms	1849 kB/s
47.242.79.71	8080	FALSE	HKG	Asia Pacific	Hong Kong	67 ms	1847 kB/s
47.76.77.103	80	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	1799 kB/s
8.218.174.118	2086	FALSE	HKG	Asia Pacific	Hong Kong	68 ms	1791 kB/s
47.242.171.94	80	FALSE	HKG	Asia Pacific	Hong Kong	67 ms	1733 kB/s
8.218.2.181	8080	FALSE	HKG	Asia Pacific	Hong Kong	70 ms	1681 kB/s
47.236.169.141	8880	FALSE	SIN	Asia Pacific	Singapore	216 ms	1671 kB/s
47.243.60.150	2095	FALSE	HKG	Asia Pacific	Hong Kong	57 ms	1636 kB/s
47.236.125.62	2082	FALSE	NRT	Asia Pacific	Tokyo	286 ms	1633 kB/s
47.76.33.40	2095	FALSE	HKG	Asia Pacific	Hong Kong	66 ms	1633 kB/s
47.242.202.230	2082	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	1583 kB/s
8.217.207.60	2052	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	1579 kB/s
47.76.159.146	80	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	1512 kB/s
8.210.174.156	80	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	1511 kB/s
47.243.27.217	80	FALSE	HKG	Asia Pacific	Hong Kong	64 ms	1510 kB/s
47.76.77.103	2082	FALSE	HKG	Asia Pacific	Hong Kong	66 ms	1501 kB/s
8.218.146.204	8880	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	1450 kB/s
47.243.86.79	2082	FALSE	HKG	Asia Pacific	Hong Kong	64 ms	1364 kB/s
8.218.53.110	8080	FALSE	HKG	Asia Pacific	Hong Kong	55 ms	1355 kB/s
8.210.48.107	8080	FALSE	HKG	Asia Pacific	Hong Kong	58 ms	1325 kB/s
8.210.9.129	2086	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	1294 kB/s
47.236.169.141	2095	FALSE	SIN	Asia Pacific	Singapore	221 ms	1289 kB/s
8.210.175.109	8880	FALSE	HKG	Asia Pacific	Hong Kong	65 ms	1256 kB/s
47.242.79.71	2095	FALSE	HKG	Asia Pacific	Hong Kong	62 ms	1251 kB/s
8.210.9.129	8080	FALSE	HKG	Asia Pacific	Hong Kong	65 ms	1200 kB/s
47.242.54.157	8880	FALSE	HKG	Asia Pacific	Hong Kong	63 ms	1136 kB/s
8.210.146.108	8880	FALSE	HKG	Asia Pacific	Hong Kong	55 ms	1099 kB/s
47.242.234.127	80	FALSE	HKG	Asia Pacific	Hong Kong	63 ms	1056 kB/s
47.243.60.150	8080	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	980 kB/s
8.209.119.190	80	FALSE	SJC	North America	San Jose	276 ms	949 kB/s
8.217.91.121	8880	FALSE	HKG	Asia Pacific	Hong Kong	69 ms	873 kB/s
8.218.122.55	2095	FALSE	HKG	Asia Pacific	Hong Kong	58 ms	868 kB/s
47.76.94.15	2052	FALSE	HKG	Asia Pacific	Hong Kong	67 ms	858 kB/s
47.76.33.40	2086	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	856 kB/s
47.243.90.180	8880	FALSE	HKG	Asia Pacific	Hong Kong	63 ms	756 kB/s
